#,Team,Name,Average Sofascore rating,Yellow cards,Red cards,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %,Total duels won,Total duels won %,Minutes played,Was fouled,Fouls,Dispossessed,Possession lost,Appearances,Started
19,Al-Masry,Essam Tharwat,7.18,1,0,8,80.0,6,66.67,14,73.68,1190,9,0,0,145,14,13
20,Ghazl El Mahalla,Ahmed El Sheikh,7.16,2,0,73,50.34,4,10.26,77,41.85,2552,26,20,29,448,33,29
21,Pyramids FC,Ali Gabr,7.15,4,1,36,61.02,76,81.72,112,73.68,2295,3,18,2,231,26,26
22,Al Ahly FC,Mahmoud Metwaly,7.13,4,0,43,61.43,29,50.0,72,56.25,1350,15,17,4,184,17,15
23,Al Ahly FC,Marwan Attia,7.13,4,0,86,51.5,12,54.55,98,51.85,1950,15,21,22,292,27,23
24,Al Ahly FC,Mohamed El-Shenawy,7.13,2,1,13,86.67,11,100.0,24,92.31,2599,11,2,0,219,29,29
25,Al Ahly FC,Ali Lotfi,7.13,0,0,1,100.0,0,0.0,1,100.0,270,1,0,0,11,5,3
26,Zamalek SC,Mohamed Awad,7.12,2,0,4,100.0,1,100.0,5,100.0,1440,4,0,0,151,16,16
27,Modern Future FC,Basem Ali,7.12,3,0,98,63.64,36,62.07,134,63.21,2142,12,24,10,396,27,24
28,Al Ahly FC,Hussein El Shahat,7.11,0,0,37,34.91,10,58.82,47,38.21,1258,12,14,18,285,21,14
29,Zamalek SC,Mahmoud Hamdi,7.10,0,0,16,88.89,21,65.63,37,74.0,591,8,2,0,70,8,7
30,Pharco FC,Mahmoud El Sayed,7.10,0,0,2,100.0,0,0.0,2,100.0,90,2,0,0,5,1,1
31,Modern Future FC,Mahmoud Marei,7.09,4,1,60,62.5,35,56.45,95,60.13,2011,18,18,6,243,23,23
32,Al Ahly FC,Mohamed Abdelmonem,7.09,7,0,42,59.15,53,72.6,95,65.97,1855,8,13,2,153,21,21
33,Zamalek SC,Ahmed Fatouh,7.09,2,0,77,57.46,16,53.33,93,56.71,1454,32,21,13,290,19,15
34,Modern Future FC,Joseph Jonathan Ngwem,7.08,6,0,73,50.0,35,58.33,108,52.43,2595,21,28,23,551,30,29
35,Pyramids FC,Mahmoud Saber,7.08,1,0,30,60.0,5,55.56,35,59.32,675,15,11,5,67,15,8
36,Zamalek SC,Hossam Abdelmaguid,7.08,4,0,43,53.09,87,66.92,130,61.61,2488,7,21,4,263,29,28
37,Al Ahly FC,Karim Fouad,7.08,2,0,34,55.74,10,38.46,44,50.57,697,10,11,8,126,12,8
38,Pyramids FC,Walid El Karti,7.07,2,1,64,42.38,38,66.67,102,49.04,1848,26,20,28,317,23,23
39,El Dakhlya,Mohamed Magdi Abdel Fattah,7.07,0,0,2,100.0,2,100.0,4,100.0,270,2,0,0,36,3,3
40,Al Ahly FC,Hamdi Fathi,7.06,3,0,52,59.09,18,56.25,70,58.33,1105,33,15,7,149,17,13
41,Al-Ittihad Alexandria,Mabululu,7.06,4,0,61,42.96,31,37.35,92,40.89,2063,24,31,27,228,32,23
42,Pyramids FC,Abdallah El-Said,7.06,0,1,39,45.88,3,33.33,42,44.68,1247,17,6,19,314,18,13
43,Al-Mokawloon,Mahmoud Abou El-Saoud,7.06,1,0,20,100.0,5,100.0,25,100.0,3060,20,0,0,291,34,34
44,Modern Future FC,Mahmoud Genesh,7.05,2,0,10,90.91,8,88.89,18,90.0,2236,12,0,0,204,25,25
45,ENPPI,Mohamed Ismail,7.05,0,0,10,83.33,9,81.82,19,82.61,136,4,2,0,23,3,2
46,Haras El Hedoud,Ibrahim El Kadi,7.05,5,0,66,70.97,50,63.29,116,67.44,2004,15,11,3,252,23,23
47,Ceramica Cleopatra,Ragab Nabil,7.05,5,0,71,61.74,109,65.66,180,64.06,2770,23,35,3,310,31,32
48,Ceramica Cleopatra,Mohamed Shokry,7.04,4,0,109,47.81,37,50.0,146,48.34,2544,26,38,41,607,29,30
49,Al-Ittihad Alexandria,Mahmoud Alaa,7.04,2,2,24,50.0,40,56.34,64,53.78,1829,5,18,2,213,21,21
50,Al-Mokawloon,Omar Fayed,7.03,7,0,109,69.43,49,69.01,158,69.3,1989,23,26,7,325,25,23
51,Ismaily,Mohamed Fawzi,7.02,1,0,3,100.0,1,100.0,4,100.0,1060,3,0,0,107,13,12
52,Modern Future FC,Nasser Maher,7.01,1,0,80,58.82,3,20.0,83,54.97,1460,38,7,20,267,22,17
53,ENPPI,Ahmed Kalosha,7.01,3,0,70,70.71,73,66.97,143,68.75,2693,15,13,3,374,30,30
54,Haras El Hedoud,Mohamed Reda,7.00,1,0,70,67.31,23,60.53,93,65.49,1690,10,15,7,363,24,19
55,Pyramids FC,Ahmed El-Shenawy,7.00,1,0,17,94.44,14,100.0,31,96.88,2875,18,0,0,203,32,33
56,Pyramids FC,Mahmoud Ooka,7.00,0,0,0,0.0,1,100.0,1,50.0,27,0,0,1,1,2,0
57,Al-Masry,Adnan Osman,7.00,0,0,5,71.43,1,100.0,6,75.0,45,1,1,1,16,1,0
58,Haras El Hedoud,Ramzi Khaled,7.00,0,0,7,87.5,1,50.0,8,80.0,51,4,0,0,16,2,1
59,Al Ahly FC,Mostafa Shobeir,7.00,0,0,2,100.0,0,0.0,2,100.0,192,2,0,0,14,3,2
60,Al-Mokawloon,Ahmed Eid,7.00,1,0,7,63.64,2,100.0,9,69.23,169,1,4,0,20,4,2
61,Tala'ea El-Gaish,Karim Halawa,7.00,2,0,10,62.5,2,66.67,12,63.16,130,3,3,0,20,7,2
62,Al-Mokawloon,Omar Fathi,7.00,5,1,90,49.45,9,32.14,99,47.14,1441,37,36,22,287,28,18
63,Pyramids FC,Ramadan Sobhi,6.99,5,0,54,37.24,9,39.13,63,37.5,1494,22,28,35,240,18,16
64,Ceramica Cleopatra,Mohamed Bassam,6.99,1,0,11,84.62,9,100.0,20,90.91,2790,10,0,0,244,31,32
65,Ismaily,Serge Aka,6.99,2,0,71,56.8,4,25.0,75,53.19,1179,13,30,5,124,14,14
66,Al-Masry,Mohamed Dabash,6.99,3,0,22,64.71,23,53.49,45,58.44,1031,4,10,0,106,12,11
67,Al-Masry,Hussein Sayed,6.99,8,0,85,57.82,32,50.0,117,55.45,1617,29,33,15,285,23,18
68,ENPPI,Reda Sayed,6.99,4,0,23,100.0,12,70.59,35,87.5,2610,22,0,0,452,29,29
69,Modern Future FC,Mahmoud Hamdy,6.99,0,0,5,100.0,0,0.0,5,100.0,691,4,0,0,33,10,8
70,ENPPI,Ahmed Amin Oufa,6.98,5,2,104,43.7,144,53.53,248,48.92,2150,53,58,45,469,27,25
71,Al-Ittihad Alexandria,Mahdi Soliman,6.98,2,0,6,66.67,12,100.0,18,85.71,2610,5,0,0,209,29,29
72,Tala'ea El-Gaish,Abdel Rahman Shika,6.98,4,0,63,57.27,10,52.63,73,56.59,1059,17,17,12,181,15,12
73,Ghazl El Mahalla,Moaz El Henawy,6.98,6,0,59,66.29,62,57.94,121,61.73,2693,12,14,4,348,32,33
74,Pyramids FC,Islam Issa,6.98,1,0,89,58.17,6,23.08,95,53.07,1366,32,26,17,226,28,15
75,Zamalek SC,Mohamed Abdelghani,6.97,0,0,51,62.2,30,66.67,81,63.78,1911,7,8,3,142,25,22
76,Al Ahly FC,Yasser Ibrahim,6.97,4,0,55,65.48,50,64.94,105,65.22,1729,12,10,4,136,21,20
77,Ceramica Cleopatra,Mohamed Adel,6.97,3,0,87,53.05,26,46.43,113,51.36,2215,16,37,13,270,29,24
78,Pyramids FC,Ibrahim Blati Toure,6.97,2,0,98,53.85,10,34.48,108,51.18,2250,32,32,20,309,29,26
79,Smouha,Mohamed El Sabahi,6.97,1,0,27,60.0,8,72.73,35,62.5,277,15,1,6,59,6,2
80,Ismaily,Omar El Wahsh,6.96,2,0,79,63.71,8,38.1,87,60.0,1139,21,22,9,207,17,12
81,Zamalek SC,Ahmed Belhadji,6.96,3,0,70,40.23,16,39.02,86,40.0,1603,27,22,38,365,22,18
82,Al Ahly FC,Rami Rabia,6.96,2,0,29,59.18,25,67.57,54,62.79,890,5,9,4,77,16,9
83,El Dakhlya,Kamal Aboul-Fetouh,6.96,3,0,42,60.87,37,68.52,79,64.23,1174,8,13,3,128,15,14
84,Modern Future FC,Ali El Fil,6.96,3,1,35,56.45,25,65.79,60,60.0,1768,13,19,2,137,21,20
85,Ceramica Cleopatra,Mohamed Toni,6.96,2,0,70,60.87,9,34.62,79,56.03,1191,27,21,16,159,19,15
86,Al-Mokawloon,Farouck Kabore,6.95,6,0,72,55.81,86,77.48,158,65.83,2970,9,28,7,372,33,33
87,Aswan SC,Mohamed Hamdy Zaki,6.95,7,0,51,38.64,51,34.23,102,36.3,2216,30,29,23,312,28,25
88,Ghazl El Mahalla,Mostafa El Aash,6.95,4,0,105,65.22,71,63.39,176,64.47,2965,38,21,11,449,33,33
89,Pyramids FC,Mostafa Fathy,6.95,0,0,70,40.0,3,27.27,73,39.25,2467,12,7,30,422,31,31
90,El Dakhlya,Ahmed El Amour,6.95,0,0,10,58.82,1,20.0,11,50.0,315,4,6,0,27,5,3
91,National Bank of Egypt,Mohamed Abou Gabal,6.95,4,0,13,92.86,10,83.33,23,88.46,2430,13,1,0,257,27,28
92,Pharco FC,Abdallah Bakri,6.95,5,1,53,54.64,53,69.74,106,61.27,2171,11,30,6,254,26,25
93,Zamalek SC,Nabil Donga,6.95,4,0,65,51.59,20,60.61,85,53.46,1562,22,30,10,201,24,16
94,Zamalek SC,Mostafa Shalaby,6.95,3,0,107,56.32,13,43.33,120,54.55,1598,40,25,21,323,22,20
95,Ghazl El Mahalla,Himid Mao Mkami,6.94,12,0,131,59.55,26,46.43,157,56.88,2190,41,37,12,278,26,24
96,Al-Masry,Islam Abou-Salima,6.94,1,1,44,61.11,51,56.67,95,58.64,1961,7,15,4,218,26,21
97,Zamalek SC,Mahmoud Shabana,6.94,0,1,35,76.09,55,72.37,90,73.77,1235,14,11,0,183,14,14
98,Tala'ea El-Gaish,Mahmoud Wadi,6.94,2,0,28,40.58,71,59.17,99,52.38,1129,18,17,16,156,18,13
99,Zamalek SC,Mohamed Sobhi,6.93,0,0,14,100.0,12,92.31,26,96.3,1620,14,0,0,160,18,18
100,Modern Future FC,Marwan Mohsen,6.93,1,0,36,42.86,35,46.05,71,44.38,1341,15,27,15,159,24,16
101,Zamalek SC,Hamza Mathlouthi,6.93,4,0,69,58.97,26,60.47,95,59.38,2105,26,17,9,338,26,24
102,Smouha,Sherif Reda,6.93,1,0,103,53.09,34,69.39,137,56.38,2388,18,16,27,532,28,27
103,Ismaily,Mohamed Hassan,6.93,5,2,102,56.04,16,69.57,118,57.56,1844,23,44,9,247,24,23
104,National Bank of Egypt,Mohamed Helal,6.92,5,0,85,46.7,16,44.44,101,46.33,2031,44,33,28,419,28,23
105,Al-Ittihad Alexandria,Sabri Raheel,6.92,0,0,75,63.03,20,46.51,95,58.64,2208,11,4,11,480,28,24
106,Pyramids FC,Mohamed Hamdi,6.92,2,0,62,53.45,56,65.88,118,58.71,2481,17,18,7,415,32,28
107,Haras El Hedoud,Mohamed Fawzi,6.92,1,0,17,89.47,13,86.67,30,88.24,1935,12,1,0,382,22,21
108,Haras El Hedoud,Mahmoud Ben Wali,6.92,5,0,52,59.77,74,64.35,126,62.38,2533,21,24,3,237,29,30
109,Al-Ittihad Alexandria,Hisham Salah,6.91,5,1,78,52.35,40,71.43,118,57.56,2319,18,20,14,501,27,26
110,Pyramids FC,Ahmed Samy,6.91,2,1,31,57.41,45,60.81,76,59.38,1890,14,20,1,182,23,22
111,Al Ahly FC,Khaled Abdelfattah,6.91,4,0,96,53.33,37,68.52,133,56.84,1903,29,25,26,400,24,21
112,Al-Mokawloon,Ahmed Atef,6.91,7,0,128,55.41,18,36.73,146,52.14,1559,32,39,27,322,26,15
113,Ismaily,Ahmed Adel,6.91,2,0,1,100.0,5,100.0,6,100.0,632,1,0,0,56,8,7
114,Ceramica Cleopatra,Ahmed Yasser Rayan,6.91,2,0,82,42.93,33,34.02,115,39.93,2150,34,36,47,296,29,25
115,Pyramids FC,Karim Hafez,6.91,3,0,32,60.38,3,20.0,35,51.47,961,16,7,3,126,19,10
116,Tala'ea El-Gaish,Ahmed Samir,6.91,3,0,77,52.74,10,26.32,87,47.28,2053,48,11,39,322,29,25
117,Pharco FC,Rami Sabri,6.91,0,1,20,55.56,44,66.67,64,62.75,1670,7,7,4,167,20,20
118,Haras El Hedoud,Ahmed Shedid Kenawi,6.90,2,0,75,66.37,4,28.57,79,62.2,2441,20,8,10,464,29,29
119,Al-Mokawloon,Ahmed Alaa Eldin,6.90,7,0,91,53.53,90,77.59,181,63.29,2835,28,53,6,451,32,32
120,Pharco FC,Rezki Hamroune,6.90,1,0,69,39.88,20,36.36,89,39.04,1842,26,11,52,313,31,23
121,Ceramica Cleopatra,Seif Teka,6.90,3,0,16,38.1,49,72.06,65,59.09,1088,8,18,3,134,15,12
122,Al-Ittihad Alexandria,Omar Fathy,6.90,1,0,2,50.0,0,0.0,2,28.57,19,1,1,0,1,1,0
123,Pyramids FC,Ahmed Fathi,6.90,4,0,34,47.89,13,59.09,47,50.54,869,10,18,5,123,13,11
124,Ismaily,Abdallah El Saeed,6.90,0,0,1,100.0,0,0.0,1,100.0,14,0,0,0,2,1,0
125,El Dakhlya,Salah Yehia,6.90,0,0,3,100.0,0,0.0,3,100.0,18,2,1,0,2,1,0
126,Ismaily,Mostafa Fares,6.90,0,0,7,58.33,0,0.0,7,58.33,56,3,3,1,11,2,0
127,National Bank of Egypt,Ahmed Sobhi,6.90,0,0,2,66.67,1,100.0,3,75.0,495,2,0,1,36,6,5
128,Ceramica Cleopatra,Ahmed Hany,6.90,2,0,50,57.47,13,50.0,63,55.75,1210,11,17,7,190,15,15
129,Aswan SC,Raphael Ayagwa,6.90,7,0,102,54.55,59,57.28,161,55.52,2243,15,43,18,338,25,26
130,Aswan SC,Mido Mostafa,6.90,2,0,119,62.96,38,48.72,157,58.8,2800,20,21,13,517,33,33
131,Ismaily,Baher El Mohamady,6.90,9,0,70,63.64,42,63.64,112,63.64,2519,17,15,6,268,29,28
132,Ismaily,Abdel Rahman Magdi,6.89,2,0,60,46.51,11,27.5,71,42.01,1252,6,16,19,284,20,14
133,ENPPI,Ali Fawzi,6.89,4,0,75,49.34,24,48.0,99,49.01,2392,25,26,14,544,29,28
134,Al-Masry,Imadeddine Boubekeur,6.89,8,0,47,54.65,89,76.72,136,67.33,2025,15,27,2,218,28,23
135,Al Ahly FC,Kahraba,6.89,2,0,9,29.03,7,43.75,16,34.04,793,3,6,9,94,14,10
136,ENPPI,Ahmed El Agouz,6.89,3,0,72,60.5,13,48.15,85,58.22,1451,15,17,9,168,26,16
137,Al-Ittihad Alexandria,Abdallah Nasib,6.89,1,0,25,58.14,28,65.12,53,61.63,840,3,8,0,81,13,8
138,Al-Mokawloon,Abdelrahman Khaled Gebna,6.89,2,0,75,51.02,8,30.77,83,47.98,1388,31,26,22,276,27,18
139,Al-Ittihad Alexandria,Khaled El Ghandour,6.89,1,1,70,51.85,28,52.83,98,52.13,1674,27,25,12,250,25,19
140,Zamalek SC,Ibrahima Ndiaye,6.89,0,0,53,51.46,16,38.1,69,47.59,952,18,9,13,152,16,11
141,National Bank of Egypt,Mahmoud El-Gazzar,6.88,3,2,56,66.67,36,65.45,92,66.19,2028,10,14,2,197,23,25
142,National Bank of Egypt,Mahmoud Kaoud,6.88,1,0,35,42.68,31,43.66,66,43.14,1977,10,12,19,314,28,24
143,Zamalek SC,Mostafa El Zenary,6.88,1,0,28,65.12,17,60.71,45,63.38,1177,4,4,5,125,16,13
144,Modern Future FC,Ahmed Refaat,6.88,0,0,19,43.18,0,0.0,19,43.18,391,6,6,7,79,7,6
145,Ceramica Cleopatra,Marouane Sahraoui,6.88,1,0,8,57.14,5,55.56,13,56.52,393,2,3,1,44,7,4
146,Pharco FC,Mahmoud Hamada,6.88,2,0,77,43.26,61,49.19,138,45.7,2549,12,37,32,396,30,31
147,Al-Masry,Amr Moussa,6.88,4,1,52,55.91,39,62.9,91,58.71,2323,11,30,2,296,31,26
148,Modern Future FC,Omar Kamal,6.88,2,1,65,59.09,18,66.67,83,60.58,1206,21,11,9,220,19,14
149,Al Ahly FC,Taher Mohamed,6.88,1,1,65,47.45,17,53.13,82,48.52,871,24,10,23,202,19,8
150,ENPPI,Ahmed Sebiha,6.88,1,0,53,60.92,56,67.47,109,64.12,1719,11,13,1,255,22,19
151,Al Ahly FC,Mohamed Sherif,6.88,0,0,35,34.31,11,30.56,46,33.33,1689,10,24,27,194,28,18
152,Haras El Hedoud,Islam Abdallah,6.88,0,0,34,60.71,19,76.0,53,65.43,893,12,10,0,88,14,10
153,Ismaily,Mohamed Nasr,6.88,2,0,27,72.97,21,67.74,48,70.59,964,6,6,1,84,12,10
154,National Bank of Egypt,Mohamed Fathi,6.87,2,0,84,51.53,34,51.52,118,51.53,2038,19,56,13,287,26,27
155,Modern Future FC,Saad Samir,6.87,5,1,19,57.58,17,65.38,36,61.02,907,5,9,1,86,12,11
156,National Bank of Egypt,Saidou Simpore,6.87,2,0,28,46.67,54,62.79,82,56.16,1662,8,23,4,235,21,20
157,Al-Mokawloon,Luis Hinestroza,6.87,3,0,97,53.01,20,28.17,117,46.06,2102,48,29,22,453,29,25
158,Pyramids FC,Fagrie Lakay,6.87,5,0,43,34.4,17,32.08,60,33.71,1792,19,28,37,236,29,21
159,El Dakhlya,Funom Alfred,6.87,1,0,15,51.72,7,46.67,22,50.0,386,1,8,5,102,11,4
160,Pharco FC,Mohamed Saeed Shika,6.86,2,1,14,77.78,17,94.44,31,86.11,2788,11,2,0,402,31,31
161,Ghazl El Mahalla,Gabriel Orok Ibitham,6.86,2,0,102,38.64,11,29.73,113,37.54,2534,22,44,48,468,34,28
162,Al-Ittihad Alexandria,Khaled Sobhi,6.86,6,0,39,65.0,30,57.69,69,61.61,2005,5,11,3,201,23,23
163,Al-Mokawloon,Fady Farid,6.86,2,0,40,50.0,39,44.32,79,47.02,931,21,21,15,126,29,9
164,Aswan SC,Hossam Arafat,6.86,1,0,27,46.55,33,58.93,60,52.63,763,10,11,6,123,16,8
165,Tala'ea El-Gaish,Mohamed Shehata,6.86,0,0,99,59.28,17,42.5,116,56.04,1276,32,33,12,251,29,12
166,Aswan SC,Ahmed Dahroug,6.86,0,0,43,57.33,10,76.92,53,60.23,744,3,11,3,221,19,6
167,Tala'ea El-Gaish,Karim Tarek,6.85,7,0,110,48.46,10,33.33,120,46.69,2180,41,33,28,345,29,27
168,Modern Future FC,Mohamed Reda,6.85,2,0,120,53.1,8,34.78,128,51.41,1938,52,19,39,406,29,20
169,Smouha,Yehia Yasser,6.85,0,0,4,57.14,0,0.0,4,57.14,46,1,1,0,8,2,0
170,Al-Mokawloon,Mohamed Rizk,6.85,3,0,42,60.87,2,18.18,44,55.0,669,9,13,6,91,15,6
171,Ismaily,Yaw Annor,6.85,3,0,99,49.75,16,53.33,115,50.22,1550,24,25,21,260,28,17
172,Pharco FC,Shokry Naguib,6.85,3,0,67,48.2,15,28.3,82,42.71,1754,29,19,39,248,25,20
173,Pharco FC,Saif Thierry,6.84,0,0,19,50.0,2,11.76,21,38.18,358,10,3,9,49,14,3
174,Smouha,Mostafa Saad,6.84,0,0,98,52.69,8,24.24,106,48.4,1410,40,16,31,298,20,17
175,El Dakhlya,Allan Kyambadde,6.84,5,0,102,58.62,16,41.03,118,55.4,1875,40,23,23,230,24,22
176,Ismaily,Emad Hamdi,6.84,4,0,71,57.26,58,69.05,129,62.02,1711,24,31,6,205,26,19
177,Ceramica Cleopatra,Ahmed Ramadan,6.84,8,0,83,52.2,45,60.81,128,54.94,2576,20,34,10,335,29,30
178,Al-Masry,Marwan Hamdy,6.84,2,1,69,36.32,75,57.25,144,44.86,1823,24,36,55,348,25,20
179,Ceramica Cleopatra,Amr Kalawa,6.84,3,0,42,51.22,14,77.78,56,56.0,778,15,25,6,112,19,8
180,Tala'ea El-Gaish,Ahmed Meteb,6.84,2,0,147,58.33,9,31.03,156,55.52,2783,48,31,21,522,32,30
181,Aswan SC,Mohamed Morsi,6.83,3,0,30,44.78,5,33.33,35,42.68,546,15,8,12,158,16,4
182,Al Ahly FC,Karim Eldbees,6.83,0,0,10,76.92,0,0.0,10,71.43,269,2,1,0,30,4,3
183,Zamalek SC,Naser Mansi,6.83,4,1,23,29.11,58,39.46,81,35.84,1307,12,28,19,195,19,14
184,Al-Mokawloon,Joseph Ochaya,6.83,2,0,50,34.72,33,56.9,83,41.09,2642,8,37,21,566,31,30
185,Tala'ea El-Gaish,Mohamed Camacho,6.83,4,0,65,65.66,113,71.07,178,68.99,2830,20,20,3,393,32,33
186,Tala'ea El-Gaish,Mostafa Khawaga,6.83,4,1,46,52.87,2,15.38,48,48.0,924,17,19,11,149,22,9
187,Ismaily,Saleh Gomaa,6.83,4,0,30,46.15,5,38.46,35,44.87,559,14,13,10,189,13,5
188,Al-Masry,Mahmoud Gad,6.82,1,1,7,77.78,7,70.0,14,73.68,1867,7,2,0,163,21,21
189,Aswan SC,Ahmed Castelo,6.82,3,0,80,70.18,63,63.64,143,67.14,2721,23,17,3,330,31,31
190,Smouha,Mohamed Essam Emara,6.82,1,0,59,59.0,16,41.03,75,53.96,948,22,13,12,152,27,9
191,Pyramids FC,Ahmed Tawfik,6.82,4,1,102,49.04,14,35.0,116,46.77,2065,15,52,20,308,27,24
192,El Dakhlya,Emad El-Sayed,6.82,2,0,5,83.33,7,87.5,12,85.71,1465,5,0,0,265,17,17
193,Modern Future FC,Ghanam Mohamed,6.82,3,0,62,50.82,14,60.87,76,52.41,1662,18,18,12,207,24,21
194,Pharco FC,Ali Baheeg,6.82,0,0,7,38.89,13,41.94,20,40.82,289,3,5,5,36,10,4
195,Modern Future FC,Mahmoud Shaaban,6.82,2,0,18,48.65,6,75.0,24,53.33,474,4,5,5,89,7,5
196,Aswan SC,Ahmed Khaled,6.82,2,0,106,52.22,13,23.64,119,46.12,2466,33,21,42,426,32,32
197,Zamalek SC,Seifeddine Jaziri,6.81,0,0,48,32.88,29,52.73,77,38.31,1783,22,24,40,233,27,24
198,Ismaily,Mohamed Makhlouf,6.81,2,0,38,67.86,5,38.46,43,62.32,756,6,11,4,107,16,9
199,Pharco FC,Ahmed El Bahrawy,6.81,0,0,69,62.73,26,61.9,95,62.5,1603,15,20,6,244,26,17
200,Haras El Hedoud,Khaled Sami,6.81,3,0,20,60.61,13,54.17,33,57.89,1156,5,8,0,125,15,14
201,National Bank of Egypt,Issahaku Yakubu,6.81,0,0,86,56.58,13,34.21,99,52.11,2697,22,13,18,525,33,30
202,Zamalek SC,Mohamed Ashraf Roqa,6.81,3,0,38,46.91,3,25.0,41,44.09,1465,5,19,3,168,26,19
203,Ceramica Cleopatra,Ahmed El Armouty,6.81,1,0,38,46.34,3,33.33,41,45.05,665,14,11,20,134,20,4
204,Modern Future FC,Mahmoud Rizk,6.81,4,0,20,51.28,25,73.53,45,61.64,777,8,12,2,94,11,8
205,Pyramids FC,Mahmoud Dunga,6.81,2,0,24,48.98,5,27.78,29,43.28,427,3,21,2,52,17,4
206,Ceramica Cleopatra,Mido Gaber,6.81,4,0,99,41.95,61,60.4,160,47.48,2494,31,38,48,442,31,30
207,Ghazl El Mahalla,Mahmoud El Hadary,6.81,1,0,3,60.0,5,100.0,8,80.0,854,4,0,0,77,10,9
208,Al-Mokawloon,Mamadou Niass,6.81,3,0,63,43.45,30,36.59,93,40.97,1404,20,26,22,199,31,13
209,Pharco FC,Ahmed Abdelaziz Mody,6.81,3,0,33,71.74,10,50.0,43,65.15,1071,3,11,2,148,15,13
210,Tala'ea El-Gaish,Ahmed Abdel Rahman Zola,6.81,2,0,125,60.98,12,36.36,137,57.56,2495,34,17,26,387,31,30
211,Haras El Hedoud,Mostafa Ziko,6.80,2,0,127,42.19,53,48.18,180,43.8,2714,55,43,63,498,31,31
212,El Dakhlya,Abdelrahman El Banouby,6.80,1,0,46,46.46,20,35.09,66,42.31,1128,5,9,11,176,21,10
213,Zamalek SC,Amr El Sisi,6.80,1,0,51,47.66,12,50.0,63,48.09,1226,23,31,11,141,21,14
214,Ismaily,Marwan Hamdi,6.80,0,0,5,35.71,2,40.0,7,36.84,83,0,3,2,14,1,1
215,El Dakhlya,Mohab Yasser,6.80,0,0,8,50.0,0,0.0,8,44.44,94,4,2,4,29,3,0
216,Ceramica Cleopatra,Samuel Amadi,6.80,0,0,13,61.9,2,28.57,15,53.57,178,4,3,4,19,7,2
217,Ismaily,Mohamed Abdelsamia,6.80,2,0,33,55.0,1,7.14,34,45.95,377,8,11,5,68,8,4
218,Al-Masry,Zyad Farag,6.80,0,0,1,50.0,1,100.0,2,66.67,46,0,0,1,7,1,1
219,ENPPI,Seif Elkhashab,6.80,0,0,8,44.44,11,68.75,19,55.88,281,0,3,0,34,7,3
220,Al Ahly FC,Mohamed Fakhry,6.80,0,0,30,54.55,0,0.0,30,51.72,519,12,9,8,82,11,6
221,Al-Ittihad Alexandria,Salifu Moro,6.80,5,1,81,44.26,37,62.71,118,48.76,2275,18,55,13,262,27,25
222,Al-Masry,Emeka Eze,6.80,9,1,79,53.02,36,56.25,115,53.99,1880,29,42,10,225,27,22
223,Al-Masry,Mohamed Grendo,6.80,3,0,110,44.72,68,40.0,178,42.79,2457,61,37,54,367,32,26
